node_id,init_balance,account_type_enc,country_enc,tx_behavior_id,out_tx_count,out_tx_sum,out_tx_mean,out_tx_std,out_tx_max,in_tx_count,in_tx_sum,in_tx_mean,in_tx_std,in_tx_max,out_unique_nbrs,in_unique_nbrs,total_tx_count,net_flow,flow_ratio,tx_time_span,unique_counterparts
0,184.44,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,175.8,0,0,1,24.0,4219.200000000001,175.80000000000004,0.0,175.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,4219.200000000001,4219.200000000001,199.0,1.0
2,142.06,0,0,1,18.0,2556.9,142.05,0.0,142.05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,2556.9,2556.9,197.0,1.0
3,125.89,0,0,1,19.0,2391.72,125.88,0.0,125.88,23.0,313.49,13.63,0.0,13.63,1.0,1.0,42.0,2078.2299999999996,7.6050748831441375,170.0,2.0
4,151.13,0,0,1,23.0,3475.99,151.13,0.0,151.13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,3475.99,3475.99,194.0,1.0
5,140.49,0,0,1,38.0,2669.12,70.24,0.0,70.24,19.0,156.75,8.25,0.0,8.25,2.0,1.0,57.0,2512.37,16.919936608557844,190.0,3.0
6,178.38,0,0,1,38.0,3389.22,89.19,0.0,89.19,20.0,3823.8,191.19,0.0,191.19,2.0,1.0,58.0,-434.5800000000004,0.8861169211462037,194.0,3.0
7,130.33,0,0,1,34.0,2215.44,65.16,0.0,65.16,20.0,2816.6000000000004,140.83,0.0,140.83,2.0,1.0,54.0,-601.1600000000003,0.7862862010221464,197.0,3.0
8,147.66,0,0,1,46.0,3396.18,73.83,0.0,73.83,0.0,0.0,0.0,0.0,0.0,2.0,0.0,46.0,3396.18,3396.18,160.0,2.0
9,158.34,0,0,1,36.0,2849.7599999999998,79.16,0.0,79.16,3.0,9479685.44,3159895.1466666665,4726029.79821817,8593778.0,2.0,1.0,39.0,-9476835.68,0.00030061753814717947,190.0,3.0
10,190.81,0,0,1,42.0,4006.8,95.4,0.0,95.4,20.0,2076.0,103.8,0.0,103.8,2.0,1.0,62.0,1930.8000000000002,1.9291285507944151,191.0,3.0
11,150.47,0,0,1,40.0,3009.2000000000003,75.23,0.0,75.23,14.0,174.01999999999998,12.429999999999998,0.0,12.43,2.0,1.0,54.0,2835.1800000000003,17.19346360415953,172.0,3.0
12,128.18,0,0,1,36.0,2306.88,64.08,0.0,64.08,17.0,872.7800000000001,51.34,0.0,51.34,2.0,1.0,53.0,1434.1,2.6401153608459795,192.0,3.0
13,175.58,0,0,1,30.0,2633.7000000000003,87.79,0.0,87.79,1.0,703387.31,703387.31,0.0,703387.31,2.0,1.0,31.0,-700753.6100000001,0.003744304479555539,191.0,3.0
14,161.84,0,0,1,30.0,2427.2999999999997,80.91,0.0,80.91,18.0,1153.44,64.08,0.0,64.08,2.0,1.0,48.0,1273.8599999999997,2.102577873254565,191.0,3.0
15,125.05,0,0,1,48.0,3000.96,62.52,0.0,62.52,3.0,21969971.79,7323323.93,12257609.658417258,21474836.47,2.0,1.0,51.0,-21966970.83,0.00013659370581314226,191.0,3.0
16,190.97,0,0,1,44.0,4201.12,95.48,0.0,95.48,20.0,3431.6000000000004,171.58,0.0,171.58,2.0,1.0,64.0,769.5199999999995,1.2238885975645282,194.0,3.0
17,198.28,0,0,1,36.0,3568.68,99.13,0.0,99.13,40.0,5591.599999999999,139.79,7.980386212619288,147.67,2.0,2.0,76.0,-2022.9199999999996,0.6381074991953654,194.0,4.0
18,181.02,0,0,1,40.0,3620.4,90.51,0.0,90.51,20.0,2739.4,136.97,0.0,136.97,2.0,1.0,60.0,881.0,1.3211210042329586,190.0,3.0
19,190.22,0,0,1,36.0,3423.96,95.11,0.0,95.11,20.0,3687.0,184.35,0.0,184.35,2.0,1.0,56.0,-263.03999999999996,0.9284056399132321,193.0,3.0
20,131.01,0,0,1,52.0,3406.0,65.5,0.0,65.5,1.0,1926782.75,1926782.75,0.0,1926782.75,2.0,1.0,53.0,-1923376.75,0.0017677126454901855,192.0,3.0
21,172.98,0,0,1,40.0,3459.2000000000003,86.48,0.0,86.48,1.0,1766793.12,1766793.12,0.0,1766793.12,2.0,1.0,41.0,-1763333.9200000002,0.001957896486547057,180.0,3.0
22,189.88,0,0,1,46.0,4367.24,94.94,0.0,94.94,205.0,89417.73999999999,436.18409756097554,75.84644605521156,465.02,2.0,2.0,251.0,-85050.49999999999,0.048840321391243044,197.0,4.0
23,168.4,0,0,1,48.0,4041.12,84.19,0.0,84.19,43.0,289.61,6.735116279069768,1.1557277074537502,7.96,2.0,2.0,91.0,3751.5099999999998,13.905646743057705,189.0,4.0
24,147.21,0,0,1,54.0,3974.3999999999996,73.6,0.0,73.6,181.0,1287830.4700000002,7115.085469613261,87747.39760111267,1181113.37,2.0,2.0,235.0,-1283856.0700000003,0.003086118092765662,197.0,4.0
25,110.07,0,0,1,30.0,1650.9,55.03,0.0,55.03,20.0,2617.6,130.88,0.0,130.88,2.0,1.0,50.0,-966.6999999999998,0.6304513862369205,190.0,3.0
26,143.42,0,0,1,44.0,3154.8,71.7,0.0,71.7,20.0,2793.8,139.69,0.0,139.69,2.0,1.0,64.0,361.0,1.12881064834693,195.0,3.0
27,161.09,0,0,1,40.0,3221.6000000000004,80.54,0.0,80.54,0.0,0.0,0.0,0.0,0.0,2.0,0.0,40.0,3221.6000000000004,3221.6000000000004,196.0,2.0
28,191.3,0,0,1,42.0,4017.3,95.65,0.0,95.65,20.0,2454.6,122.72999999999999,0.0,122.73,2.0,1.0,62.0,1562.7000000000003,1.635974914481186,190.0,3.0
29,196.66,0,0,1,58.0,5703.14,98.33000000000001,0.0,98.33,22.0,4207162.23,191234.64681818185,872959.482541525,4098292.5,2.0,2.0,80.0,-4201459.090000001,0.0013555784951086863,199.0,4.0
30,147.7,0,0,1,40.0,2953.6000000000004,73.84,0.0,73.84,0.0,0.0,0.0,0.0,0.0,2.0,0.0,40.0,2953.6000000000004,2953.6000000000004,182.0,2.0
31,186.53,0,0,1,42.0,3916.92,93.26,0.0,93.26,20.0,2943.2,147.16,0.0,147.16,2.0,1.0,62.0,973.7200000000003,1.3303851640513553,194.0,3.0
32,126.05,0,0,1,48.0,3024.96,63.02,0.0,63.02,20.0,2025.3999999999999,101.27,0.0,101.27,2.0,1.0,68.0,999.5600000000002,1.492775365179629,190.0,3.0
33,180.5,0,0,1,40.0,3610.0,90.25,0.0,90.25,3.0,558294.75,186098.25,298453.6136499451,530689.68,2.0,2.0,43.0,-554684.75,0.0064661068976434085,172.0,4.0
34,154.87,0,0,1,38.0,2942.34,77.43,0.0,77.43,33.0,3275.2,99.24848484848485,105.18116398389768,219.91,2.0,2.0,71.0,-332.8599999999997,0.8980953543739699,193.0,4.0
35,101.4,0,0,1,42.0,2129.4,50.7,0.0,50.7,11.0,242.44,22.04,0.0,22.04,2.0,1.0,53.0,1886.96,8.74712454814328,182.0,3.0
36,171.97,0,0,1,44.0,3783.1200000000003,85.98,0.0,85.98,2.0,402944.3,201472.15,283611.73352556623,402015.93,2.0,1.0,46.0,-399161.18,0.009388668883841059,190.0,3.0
37,139.88,0,0,1,36.0,2517.84,69.94,0.0,69.94,38.0,3602.9,94.81315789473685,84.08864312897249,173.53,2.0,2.0,74.0,-1085.06,0.6986431366020145,190.0,4.0
38,182.48,0,0,1,36.0,3284.28,91.23,0.0,91.23,0.0,0.0,0.0,0.0,0.0,2.0,0.0,36.0,3284.28,3284.28,196.0,2.0
39,166.82,0,0,1,40.0,3336.3999999999996,83.41,0.0,83.41,20.0,3630.4,181.52,0.0,181.52,2.0,1.0,60.0,-294.00000000000045,0.9187641130142643,197.0,3.0
40,100.11,0,0,1,34.0,1701.6999999999998,50.05,0.0,50.05,18.0,628.92,34.94,0.0,34.94,2.0,1.0,52.0,1072.7799999999997,2.7014541529083056,199.0,3.0
41,149.36,0,0,1,36.0,2688.4800000000005,74.68,0.0,74.68,22.0,1800457.34,81838.97,383768.17582323705,1800051.62,2.0,2.0,58.0,-1797768.86,0.0014932197764709182,191.0,4.0
42,186.76,0,0,1,40.0,3734.8,93.37,0.0,93.37,20.0,2158.8,107.94000000000001,0.0,107.94,2.0,1.0,60.0,1576.0,1.7292341883507731,190.0,3.0
43,124.39,0,0,1,56.0,3482.64,62.19,0.0,62.19,0.0,0.0,0.0,0.0,0.0,2.0,0.0,56.0,3482.64,3482.64,197.0,2.0
